"Estimate";"Std. Error";"t value"
"(Intercept)";64.102;15.811;4.054
"RPDI2sc";-24.912;12.542;-1.986
"temp_sc";-33.118;14.615;-2.266
"wind_sc";18.305;11.345;1.614
