"rowname","Estimate.x","Std. Error.x","t value.x","Estimate.y","Std. Error.y","t value.y","Estimate.x.x","Std. Error.x.x","t value.x.x","Estimate.y.y","Std. Error.y.y","t value.y.y"
"(Intercept)",-5771.516,3163.514,-1.824,-21.898,16.801,-1.303,-3042.37,1755.682,-1.733,-3017.883,621.749,-4.854
"dist_road_resc",103.517,35.493,2.917,0.097,0.148,0.656,58.519,17.408,3.362,2.753,6.494,0.424
"wind",7.234,3.082,2.347,0.016,0.017,0.969,4.064,1.675,2.426,6.23,1.03,6.048
"pressure",5.767,3.123,1.846,0.022,0.016,1.368,3.042,1.733,1.755,2.936,0.606,4.848
"daySunday",NA,NA,NA,-0.141,0.123,-1.145,NA,NA,NA,-2210.041,514.839,-4.293
"temp",NA,NA,NA,0.049,0.028,1.765,NA,NA,NA,-0.678,1.116,-0.608
"cloudiness",NA,NA,NA,0.02,0.034,0.576,NA,NA,NA,1.554,0.826,1.882
"daySunday:wind",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.258,0.379,3.32
"daySunday:pressure",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.078,0.499,4.168
"daySunday:cloudiness",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.44,2.619,6.278
