"Estimate";"Std. Error";"t value"
"(Intercept)";180.109;28.927;6.226
"daySunday";23.993;14.089;1.703
"locHW";-129.121;38.962;-3.314
"wind_sc";35.813;14.633;2.447
"pressure_sc";43.786;15.417;2.84
"cloudiness_sc";21.55;13.46;1.601
"locHW:pressure_sc";-33.527;19.804;-1.693
